date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2022-08-18,(週四),1.2046,1.1920,1.2079,1.1919,1.1930,1.2091,,1.1930
2022-08-19,(週五),1.1930,1.1826,1.1936,1.1792,1.1822,1.2046,,1.1822
2022-08-22,(週一),1.1822,1.1760,1.1837,1.1727,1.1764,1.1930,,1.1764
2022-08-23,(週二),1.1764,1.1821,1.1878,1.1717,1.1825,1.1822,,1.1825
2022-08-24,(週三),1.1825,1.1791,1.1838,1.1755,1.1794,1.1764,,1.1794
2022-08-25,(週四),1.1794,1.1833,1.1864,1.1784,1.1830,1.1825,,1.1830
2022-08-26,(週五),1.1830,1.1738,1.1901,1.1733,1.1711,1.1794,,1.1711
2022-08-29,(週一),1.1711,1.1704,1.1744,1.1649,1.1704,1.1830,,1.1704
2022-08-30,(週二),1.1704,1.1642,1.1760,1.1621,1.1652,1.1711,,1.1652
2022-08-31,(週三),1.1652,1.1620,1.1694,1.1599,1.1612,1.1704,,1.1612
2022-09-01,(週四),1.1612,1.1541,1.1619,1.1498,1.1541,1.1652,,1.1541
2022-09-02,(週五),1.1541,1.1510,1.1589,1.1496,1.1480,1.1612,,1.1480
2022-09-05,(週一),1.1480,1.1514,1.1521,1.1444,1.1510,1.1541,,1.1510
2022-09-06,(週二),1.1510,1.1512,1.1609,1.1494,1.1516,1.1480,,1.1516
2022-09-07,(週三),1.1516,1.1512,1.1539,1.1405,1.1531,1.1510,,1.1531
2022-09-08,(週四),1.1531,1.1501,1.1560,1.1460,1.1499,1.1516,,1.1499
2022-09-09,(週五),1.1499,1.1587,1.1648,1.1496,1.1610,1.1531,,1.1610
2022-09-12,(週一),1.1610,1.1668,1.1710,1.1600,1.1678,1.1499,,1.1678
2022-09-13,(週二),1.1678,1.1490,1.1738,1.1478,1.1492,1.1610,,1.1492
2022-09-14,(週三),1.1492,1.1530,1.1590,1.1480,1.1534,1.1678,,1.1534
2022-09-15,(週四),1.1534,1.1463,1.1549,1.1459,1.1467,1.1492,,1.1467
